,delta_t,batch_lengths,avg_return,actor_losses,critic_losses
0,1728995213.526477,9898,-12.331419434620598,130.16268920898438,19529.091796875
1,1728995235.050208,9795,-12.49407895452034,128.52093505859375,18879.81640625
2,1728995256.589386,9935,-12.405783587633135,128.07330322265625,19089.18359375
3,1728995277.96845,9823,-12.658512716198942,129.18218994140625,19163.494140625
4,1728995299.135817,9745,-12.315212088263255,130.37826538085938,19494.49609375
5,1728995320.870181,10259,-12.28049718221577,123.7159423828125,17829.470703125
6,1728995344.282659,10006,-12.394601060249835,128.079345703125,19211.8125
7,1728995365.5543199,9966,-12.42019863450314,128.92132568359375,19689.251953125
8,1728995387.1774578,10406,-12.195847572051855,119.68141174316406,16970.546875
9,1728995410.042937,10552,-11.966453916104157,120.53866577148438,17139.845703125
10,1728995432.458719,10626,-12.177950371871702,120.08824920654297,17282.021484375
11,1728995454.030268,10513,-12.067487623160465,117.38524627685547,16494.7109375
12,1728995475.980598,10672,-12.147884115868495,117.67005157470703,16528.22265625
13,1728995497.7486,10533,-12.245240135175361,119.0709228515625,16786.671875
14,1728995519.66919,10724,-12.062198677007775,117.2870101928711,16967.58203125
