,delta_t,batch_lengths,avg_return,actor_losses,critic_losses
0,1714377914.6379788,8924,-12.070300516633658,133.71099853515625,20633.255859375
1,1714377949.417618,8772,-12.181261461949662,138.9341278076172,21920.17578125
2,1714377982.7300942,8737,-12.17970949569405,136.6517791748047,21808.150390625
3,1714378014.695359,8889,-12.155662385823074,135.70791625976562,20912.44921875
4,1714378047.46902,9066,-12.05838379539797,137.26287841796875,21655.755859375
5,1714378078.778527,9247,-11.962122668134642,128.5111541748047,18883.287109375
6,1714378110.686388,8951,-12.026401962462742,130.3334197998047,19475.00390625
7,1714378145.9234712,8976,-12.103858425511156,132.9068145751953,20283.853515625
8,1714378177.288689,9342,-12.044297355335232,128.88609313964844,19261.650390625
9,1714378209.479396,9391,-11.901285458648283,127.10499572753906,18999.12890625
10,1714378240.409482,9214,-11.983773573474057,130.0573272705078,19774.146484375
11,1714378271.419776,9476,-11.94997020338985,127.39051055908203,19060.119140625
12,1714378302.108733,9505,-11.902012672641945,125.91583251953125,18308.671875
13,1714378333.268461,9530,-11.88097112993258,123.58281707763672,17798.119140625
14,1714378364.030037,9758,-11.895569539273868,123.80261993408203,17820.166015625
15,1714378395.131604,9601,-11.921473740276696,125.48706817626953,18345.236328125
16,1714378425.984274,9594,-11.94972060160381,125.56851959228516,18534.99609375
17,1714378456.766477,9600,-11.879107919635286,124.10325622558594,18284.392578125
18,1714378487.374176,9365,-11.861852013908218,126.4415512084961,19205.080078125
19,1714378518.166612,9488,-11.804444214977021,123.79883575439453,18374.65625
20,1714378550.362558,9891,-11.686609078463023,119.19099426269531,17109.296875
21,1714378581.509755,9963,-11.622141787223892,118.3466567993164,16921.904296875
22,1714378614.920589,10192,-11.497696480952373,116.0622329711914,16242.8134765625
23,1714378646.944214,10288,-11.637364089289116,116.81988525390625,16270.5517578125
24,1714378682.7052789,10137,-11.505113721043582,113.86409759521484,15760.517578125
25,1714378716.559293,10170,-11.63484954083958,116.66211700439453,16540.54296875
26,1714378751.907837,10106,-11.577213200584714,115.83792114257812,16517.572265625
27,1714378783.006322,10558,-11.369550210956412,110.50838470458984,14930.763671875
28,1714378814.606627,10773,-11.29355690913616,107.33689880371094,14402.90234375
29,1714378845.477671,10486,-11.399225887938503,110.8932113647461,15104.509765625
30,1714378876.954464,11058,-11.274987785709378,105.4251480102539,13847.408203125
31,1714378909.24167,10538,-11.32884449973717,109.61528778076172,14780.392578125
32,1714378941.346077,11006,-11.235156414466902,106.2268295288086,13966.845703125
33,1714378972.5920188,10920,-11.076293363363808,104.04113006591797,13854.181640625
34,1714379004.233015,11045,-11.110267129391215,103.71139526367188,13791.8232421875
35,1714379043.637395,11472,-11.182026806870534,103.89103698730469,13524.8369140625
36,1714379080.758229,11723,-10.78350796485778,95.73828125,11718.9208984375
37,1714379117.118397,11813,-10.890208304067931,98.71696472167969,12478.3369140625
38,1714379149.0521238,11946,-10.9037944085126,95.63568115234375,11815.072265625
39,1714379184.318104,12339,-10.659893356814957,93.378173828125,11250.2021484375
40,1714379216.939748,12105,-10.670666020622427,95.10784912109375,11441.1064453125
41,1714379249.350849,12475,-10.658406839151318,92.32483673095703,10880.798828125
42,1714379281.424688,12349,-10.548999079880446,89.76459503173828,10260.921875
