0, 0, [72.8125], [50.41666667], [-70.47916667], [-6.66666667] 1 
1, 1, [49.21875], [46.97916667], [-37.8359375], [-3.00753546] 1 
2, 2, [37.5], [48.02083333], [-32.76041667], [-4.06478938] 1 
3, 3, [72.8125], [50.41666667], [-70.47916667], [-6.66666667] 1 
4, 4, [49.21875], [46.97916667], [-37.8359375], [-3.00753546] 1 
5, 5, [37.5], [48.02083333], [-32.76041667], [-4.06478938] 1 
6, 6, [72.8125], [50.41666667], [-70.47916667], [-6.66666667] 1 
7, 7, [49.21875], [46.97916667], [-37.8359375], [-3.00753546] 1 
8, 8, [37.5], [48.02083333], [-32.76041667], [-4.06478938] 1 
9, 9, [71.40625], [51.25], [-69.07291667], [-7.5] 1 
10, 10, [47.5], [51.04166667], [-33.86458333], [-6.88582251] 1 
11, 11, [72.8125], [50.41666667], [-70.47916667], [-6.66666667] 1 
12, 12, [49.21875], [46.97916667], [-37.8359375], [-3.00753546] 1 
13, 13, [37.5], [48.02083333], [-32.76041667], [-4.06478938] 1 
14, 14, [71.40625], [51.25], [-69.07291667], [-7.5] 1 
15, 15, [49.21875], [46.97916667], [-37.8359375], [-3.00753546] 1 
16, 16, [37.5], [48.02083333], [-32.76041667], [-4.06478938] 1 
17, 17, [71.40625], [51.25], [-69.07291667], [-7.5] 1 
18, 18, [49.21875], [46.97916667], [-37.8359375], [-3.00753546] 1 
19, 19, [37.5], [48.02083333], [-32.76041667], [-4.06478938] 1 
20, 20, [71.40625], [51.25], [-69.07291667], [-7.5] 1 
21, 21, [56.328125], [51.35416667], [-34.01171875], [-7.19173012] 1 
22, 22, [49.21875], [46.97916667], [-37.8359375], [-3.00753546] 1 
23, 23, [37.5], [48.02083333], [-32.76041667], [-4.06478938] 1 
24, 24, [71.40625], [51.25], [-69.07291667], [-7.5] 1 
25, 25, [56.328125], [51.35416667], [-34.01171875], [-7.19173012] 1 
26, 26, [49.21875], [46.97916667], [-37.8359375], [-3.00753546] 1 
27, 27, [37.5], [48.02083333], [-32.76041667], [-4.06478938] 1 
28, 28, [71.40625], [51.25], [-69.07291667], [-7.5] 1 
29, 29, [56.328125], [51.35416667], [-34.01171875], [-7.19173012] 1 
30, 30, [49.21875], [46.97916667], [-37.8359375], [-3.00753546] 1 
31, 31, [37.5], [48.02083333], [-32.76041667], [-4.06478938] 1 
