0, 0, [0.728125], [0.50416667], [-0.70479167], [-0.06666667] 1 
1, 1, [0.4921875], [0.46979167], [-0.37835937], [-0.03007535] 1 
2, 2, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
3, 3, [0.728125], [0.50416667], [-0.70479167], [-0.06666667] 1 
4, 4, [0.4921875], [0.46979167], [-0.37835937], [-0.03007535] 1 
5, 5, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
6, 6, [0.728125], [0.50416667], [-0.70479167], [-0.06666667] 1 
7, 7, [0.4921875], [0.46979167], [-0.37835937], [-0.03007535] 1 
8, 8, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
9, 9, [0.7140625], [0.5125], [-0.69072917], [-0.075] 1 
10, 10, [0.475], [0.51041667], [-0.33864583], [-0.06885823] 1 
11, 11, [0.728125], [0.50416667], [-0.70479167], [-0.06666667] 1 
12, 12, [0.4921875], [0.46979167], [-0.37835937], [-0.03007535] 1 
13, 13, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
14, 14, [0.7140625], [0.5125], [-0.69072917], [-0.075] 1 
15, 15, [0.4921875], [0.46979167], [-0.37835937], [-0.03007535] 1 
16, 16, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
17, 17, [0.7140625], [0.5125], [-0.69072917], [-0.075] 1 
18, 18, [0.4921875], [0.46979167], [-0.37835937], [-0.03007535] 1 
19, 19, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
20, 20, [0.7140625], [0.5125], [-0.69072917], [-0.075] 1 
21, 21, [0.56328125], [0.51354167], [-0.34011719], [-0.0719173] 1 
22, 22, [0.4921875], [0.46979167], [-0.37835937], [-0.03007535] 1 
23, 23, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
24, 24, [0.7140625], [0.5125], [-0.69072917], [-0.075] 1 
25, 25, [0.56328125], [0.51354167], [-0.34011719], [-0.0719173] 1 
26, 26, [0.4921875], [0.46979167], [-0.37835937], [-0.03007535] 1 
27, 27, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
28, 28, [0.7140625], [0.5125], [-0.69072917], [-0.075] 1 
29, 29, [0.56328125], [0.51354167], [-0.34011719], [-0.0719173] 1 
30, 30, [0.4921875], [0.46979167], [-0.37835937], [-0.03007535] 1 
31, 31, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
32, 32, [0.7140625], [0.5125], [-0.69072917], [-0.075] 1 
33, 33, [0.56328125], [0.51354167], [-0.34011719], [-0.0719173] 1 
34, 34, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
35, 35, [0.7140625], [0.5125], [-0.69072917], [-0.075] 1 
36, 36, [0.56328125], [0.51354167], [-0.34011719], [-0.0719173] 1 
37, 37, [0.728125], [0.5125], [-0.70479167], [-0.075] 1 
38, 38, [0.8], [0.54166667], [-0.72010417], [-0.1009887] 1 
39, 39, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
40, 40, [0.56328125], [0.51354167], [-0.34011719], [-0.0719173] 1 
41, 41, [0.728125], [0.5125], [-0.70479167], [-0.075] 1 
42, 42, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
43, 43, [0.728125], [0.5125], [-0.70479167], [-0.075] 1 
44, 44, [0.6], [0.51666667], [-0.28041667], [-0.0759887] 1 
45, 45, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
46, 46, [0.728125], [0.5125], [-0.70479167], [-0.075] 1 
47, 47, [0.6], [0.51666667], [-0.28041667], [-0.0759887] 1 
48, 48, [0.65], [0.55], [-0.33041667], [-0.10932203] 1 
49, 49, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
50, 50, [0.728125], [0.5125], [-0.70479167], [-0.075] 1 
51, 51, [0.6], [0.51666667], [-0.28041667], [-0.0759887] 1 
52, 52, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
53, 53, [0.6], [0.51666667], [-0.28041667], [-0.0759887] 1 
54, 54, [0.74140625], [0.51875], [-0.71315104], [-0.07589286] 1 
55, 55, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
56, 56, [0.6], [0.51666667], [-0.28041667], [-0.0759887] 1 
57, 57, [0.74140625], [0.51875], [-0.71315104], [-0.07589286] 1 
58, 58, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
59, 59, [0.6], [0.51666667], [-0.28041667], [-0.0759887] 1 
60, 60, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
61, 61, [0.7265625], [0.54270833], [-0.25898437], [-0.10060307] 1 
62, 62, [0.84921875], [0.55520833], [-0.75347656], [-0.11334787] 1 
63, 63, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
64, 64, [0.7265625], [0.54270833], [-0.25898437], [-0.10060307] 1 
65, 65, [0.84921875], [0.55520833], [-0.75347656], [-0.11334787] 1 
66, 66, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
67, 67, [0.7265625], [0.54270833], [-0.25898437], [-0.10060307] 1 
68, 68, [0.84921875], [0.55520833], [-0.75347656], [-0.11334787] 1 
69, 69, [0.77265625], [0.46979167], [-0.50670573], [-0.0279312] 1 
70, 70, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
71, 71, [0.7265625], [0.54270833], [-0.25898437], [-0.10060307] 1 
72, 72, [0.77265625], [0.46979167], [-0.50670573], [-0.0279312] 1 
73, 73, [0.375], [0.48020833], [-0.32760417], [-0.04064789] 1 
74, 74, [0.7828125], [0.6625], [-0.41239583], [-0.22155512] 1 
75, 75, [0.26041667], [0.4787037], [-0.23643519], [-0.03822751] 1 
76, 76, [0.42838542], [0.42037037], [-0.42419946], [0.02248677] 1 
77, 77, [0.78854167], [0.46064815], [-0.76060957], [-0.0186592] 1 
78, 78, [0.21458333], [0.42453704], [-0.21162423], [0.01614093] 1 
79, 79, [0.62239583], [0.42546296], [-0.61399306], [0.01898148] 1 
80, 80, [0.73072917], [0.44861111], [-0.70279707], [-0.00662216] 1 
81, 81, [0.39635417], [0.46851852], [-0.37237269], [-0.02804233] 1 
82, 82, [0.4515625], [0.43009259], [-0.44651235], [0.01146585] 1 
83, 83, [0.53307292], [0.42731481], [-0.345], [0.01217563] 1 
84, 84, [0.3078125], [0.4787037], [-0.28383102], [-0.03822751] 1 
85, 85, [0.21875], [0.42083333], [-0.2157909], [0.01984463] 1 
86, 86, [0.44322917], [0.4162037], [-0.43817901], [0.02535474] 1 
87, 87, [0.36614583], [0.46898148], [-0.33236497], [-0.02677043] 1 
88, 88, [0.26041667], [0.4787037], [-0.23643519], [-0.03822751] 1 
89, 89, [0.42838542], [0.42037037], [-0.42419946], [0.02248677] 1 
