0, 0, [728.125], [504.16666667], [-704.79166667], [-66.66666667] 1 
1, 1, [492.1875], [469.79166667], [-378.359375], [-30.07535461] 1 
2, 2, [375.], [480.20833333], [-327.60416667], [-40.64789377] 1 
3, 3, [728.125], [504.16666667], [-704.79166667], [-66.66666667] 1 
4, 4, [492.1875], [469.79166667], [-378.359375], [-30.07535461] 1 
5, 5, [375.], [480.20833333], [-327.60416667], [-40.64789377] 1 
6, 6, [728.125], [504.16666667], [-704.79166667], [-66.66666667] 1 
7, 7, [492.1875], [469.79166667], [-378.359375], [-30.07535461] 1 
8, 8, [375.], [480.20833333], [-327.60416667], [-40.64789377] 1 
9, 9, [714.0625], [512.5], [-690.72916667], [-75.] 1 
10, 10, [475.], [510.41666667], [-338.64583333], [-68.85822511] 1 
11, 11, [728.125], [504.16666667], [-704.79166667], [-66.66666667] 1 
12, 12, [492.1875], [469.79166667], [-378.359375], [-30.07535461] 1 
13, 13, [375.], [480.20833333], [-327.60416667], [-40.64789377] 1 
14, 14, [714.0625], [512.5], [-690.72916667], [-75.] 1 
15, 15, [492.1875], [469.79166667], [-378.359375], [-30.07535461] 1 
16, 16, [375.], [480.20833333], [-327.60416667], [-40.64789377] 1 
17, 17, [714.0625], [512.5], [-690.72916667], [-75.] 1 
18, 18, [492.1875], [469.79166667], [-378.359375], [-30.07535461] 1 
19, 19, [375.], [480.20833333], [-327.60416667], [-40.64789377] 1 
20, 20, [714.0625], [512.5], [-690.72916667], [-75.] 1 
21, 21, [563.28125], [513.54166667], [-340.1171875], [-71.91730118] 1 
22, 22, [492.1875], [469.79166667], [-378.359375], [-30.07535461] 1 
23, 23, [375.], [480.20833333], [-327.60416667], [-40.64789377] 1 
24, 24, [714.0625], [512.5], [-690.72916667], [-75.] 1 
25, 25, [563.28125], [513.54166667], [-340.1171875], [-71.91730118] 1 
26, 26, [492.1875], [469.79166667], [-378.359375], [-30.07535461] 1 
27, 27, [375.], [480.20833333], [-327.60416667], [-40.64789377] 1 
28, 28, [714.0625], [512.5], [-690.72916667], [-75.] 1 
29, 29, [563.28125], [513.54166667], [-340.1171875], [-71.91730118] 1 
30, 30, [492.1875], [469.79166667], [-378.359375], [-30.07535461] 1 
31, 31, [375.], [480.20833333], [-327.60416667], [-40.64789377] 1 
32, 32, [714.0625], [512.5], [-690.72916667], [-75.] 1 
33, 33, [563.28125], [513.54166667], [-340.1171875], [-71.91730118] 1 
34, 34, [375.], [480.20833333], [-327.60416667], [-40.64789377] 1 
35, 35, [714.0625], [512.5], [-690.72916667], [-75.] 1 
