,delta_t,batch_lengths,avg_return,actor_losses,critic_losses
0,1716306124.39616,10433,-11.437802571094752,115.24482727050781,15668.271484375
1,1716306159.620086,10591,-11.343918419873996,109.91064453125,14246.244140625
2,1716306191.83217,10217,-11.583455118953413,117.01964569091797,15822.552734375
3,1716306224.578805,10527,-11.332554686953337,112.6775894165039,14834.083984375
4,1716306256.88088,10467,-11.538225611314422,113.19853973388672,14748.2978515625
5,1716306289.716057,10492,-11.438446546660042,115.65172576904297,15611.0869140625
6,1716306324.1607108,10718,-11.360674110807198,110.95797729492188,14436.5068359375
7,1716306356.557847,10578,-11.491735105944318,114.49205780029297,15271.6630859375
8,1716306390.588376,10730,-11.391682730827485,110.52217864990234,14415.4736328125
9,1716306423.313931,11141,-11.194309972889052,105.5119400024414,13405.9560546875
10,1716306456.436363,11045,-11.355493602750105,109.06270599365234,14239.546875
11,1716306489.921342,11182,-11.288690545781199,107.98976135253906,13990.1416015625
12,1716306523.858439,11386,-11.049446929367045,103.58543395996094,13054.5888671875
13,1716306556.835653,11176,-11.13722938435854,105.01199340820312,13319.228515625
14,1716306590.550827,10986,-11.37680657564612,110.19419860839844,14687.86328125
15,1716306630.679081,11486,-11.123940344388226,102.33090209960938,12614.419921875
16,1716306667.176385,11480,-11.10948311651429,101.82878875732422,12773.240234375
17,1716306706.20238,11679,-11.06251639579777,100.44210815429688,12245.126953125
18,1716306742.574934,11637,-10.93270274645768,100.2584457397461,12463.6552734375
19,1716306780.033275,11608,-10.951937517081593,101.02828979492188,12619.0546875
20,1716306817.792539,11529,-11.067692763894845,104.59225463867188,13481.9521484375
21,1716306854.097321,11554,-11.029035233885756,99.40310668945312,12162.033203125
22,1716306891.875883,11729,-10.874414205032414,97.51702880859375,11990.576171875
23,1716306926.527324,11618,-10.971665018405483,97.1719970703125,11870.8056640625
24,1716306958.610145,11646,-11.027989957584024,99.30619049072266,12072.287109375
25,1716306991.089793,11883,-10.833001094465251,99.1947021484375,12326.2255859375
26,1716307023.433072,11993,-10.943458985590157,97.60090637207031,11889.62109375
27,1716307056.008783,12264,-10.800231988955703,93.32785034179688,11062.5
28,1716307088.4908218,12507,-10.710941962339556,88.50157165527344,9884.849609375
29,1716307121.7612941,12587,-10.634966753867973,90.98588562011719,10347.2099609375
30,1716307157.194463,12631,-10.616744883083802,90.75225830078125,10351.9306640625
31,1716307192.016941,12667,-10.605945608996405,90.51988220214844,10489.4775390625
32,1716307226.40748,12816,-10.649169737742644,89.70626831054688,10201.474609375
33,1716307260.029741,13166,-10.367075567809028,87.01724243164062,9865.4970703125
34,1716307294.476075,13456,-10.367898682247164,83.6141128540039,9099.173828125
35,1716307329.0450518,13407,-10.242172612308327,82.26860809326172,8648.7861328125
36,1716307363.104856,13675,-10.257012163488206,80.23097229003906,8364.62109375
37,1716307396.916516,13917,-10.119908036279003,78.01986694335938,8030.71142578125
38,1716307434.121017,14319,-9.968369778544885,74.84837341308594,7486.9091796875
39,1716307474.5589938,14330,-10.05367258110977,75.18770599365234,7605.892578125
40,1716307509.349777,14439,-9.97264958341729,75.66548919677734,7589.1923828125
41,1716307544.0847418,14896,-9.895844986418243,73.3121109008789,7429.59814453125
42,1716307578.376717,14787,-9.878453292089757,73.7066879272461,7524.626953125
43,1716307615.705674,15248,-9.73128626179174,71.09528350830078,6868.59814453125
44,1716307651.9051142,15549,-9.59038342250756,66.94495391845703,6177.7431640625
45,1716307689.343934,15339,-9.626356382331414,68.08016967773438,6251.17919921875
46,1716307725.022084,16171,-9.390198329483004,62.46488952636719,5621.59423828125
47,1716307760.387145,15856,-9.566211804234875,66.3010482788086,6257.8349609375
48,1716307796.226926,16231,-9.38597765764895,62.364158630371094,5550.64892578125
49,1716307833.370723,16741,-9.20681699874225,59.83042907714844,5013.59765625
50,1716307870.142827,16714,-9.219455824711575,59.373966217041016,5275.74951171875
51,1716307906.009537,17070,-9.304963441779405,60.16022491455078,5437.115234375
52,1716307941.869229,17393,-8.93898902593887,55.11812973022461,4605.9833984375
53,1716307986.0969331,17684,-8.924808070034965,54.04203414916992,4385.76513671875
54,1716308026.4332402,17312,-9.071985070701597,56.10706329345703,4594.74755859375
55,1716308067.036593,17700,-8.852414961907463,52.501075744628906,4193.498046875
56,1716308107.173741,18193,-8.736007703746566,50.51082992553711,4058.4052734375
57,1716308147.1203918,17751,-8.804721346231945,50.872249603271484,4026.735107421875
58,1716308187.30129,18379,-8.739292821059351,48.63063049316406,3790.92236328125
59,1716308228.709408,18326,-8.701816607728373,49.86764144897461,3946.399658203125
60,1716308268.707967,18293,-8.737165530373327,49.96063232421875,3832.0576171875
61,1716308303.704503,18652,-8.61901244087997,47.430267333984375,3514.912353515625
62,1716308337.896864,18565,-8.65037030308502,47.5103874206543,3556.46435546875
63,1716308373.968721,19233,-8.454670222611647,44.185184478759766,3314.76318359375
64,1716308410.022112,19181,-8.469923724601225,45.087364196777344,3378.915283203125
65,1716308445.0272799,19055,-8.513663342026812,45.20166015625,3414.4072265625
66,1716308479.580106,18952,-8.398783804835858,44.61932373046875,3359.8388671875
67,1716308515.298912,19281,-8.38310682506101,42.814918518066406,3058.817626953125
68,1716308550.616713,19221,-8.344342970016713,42.608646392822266,3103.13330078125
69,1716308585.108842,19297,-8.502850350925783,44.43960952758789,3287.67138671875
70,1716308620.22266,19570,-8.256745831976676,41.59943389892578,2930.020751953125
71,1716308654.995955,19584,-8.463915716906806,43.00992965698242,3160.927978515625
72,1716308690.107231,19921,-8.263874448079406,41.249759674072266,2982.759521484375
73,1716308726.538671,19903,-8.32355183688798,41.687400817871094,3059.28466796875
74,1716308761.8499148,20332,-8.105742504157806,37.936859130859375,2574.68310546875
75,1716308796.7837172,19716,-8.328780672746511,40.902305603027344,2975.1083984375
76,1716308832.019443,19881,-8.273790779445129,40.240135192871094,2965.89208984375
77,1716308867.356225,20517,-8.17729658229064,37.67475509643555,2684.047607421875
78,1716308902.4890912,20259,-8.227557004542128,39.2175178527832,2871.3984375
79,1716308937.5857658,20419,-8.1935025663184,38.20478439331055,2643.4580078125
80,1716308973.265634,20312,-8.167035011084291,37.237030029296875,2593.8427734375
81,1716309008.69903,20406,-8.141459673276715,36.98550796508789,2590.332763671875
82,1716309043.765996,20706,-8.07296753219441,35.9105224609375,2401.41552734375
83,1716309078.928993,20709,-8.002156234477383,35.32799530029297,2444.716064453125
84,1716309114.807034,20768,-8.09483865109366,35.8598747253418,2605.914794921875
85,1716309150.535984,20492,-8.17650148973452,36.523433685302734,2557.250732421875
86,1716309186.5621219,20756,-8.03370961575548,34.411415100097656,2361.332763671875
87,1716309221.778371,20896,-8.160960404193343,34.456153869628906,2430.318359375
88,1716309257.211786,21043,-8.005843790373854,33.678646087646484,2281.007080078125
89,1716309293.020185,21123,-7.957107840096983,32.60203552246094,2253.04541015625
90,1716309328.75323,21228,-7.881779309611974,31.03118896484375,2095.138671875
91,1716309364.286869,21006,-7.999242618761496,33.14496612548828,2213.406494140625
92,1716309400.076509,20944,-8.051216592636745,33.14588928222656,2288.47900390625
93,1716309435.588039,21111,-7.935071624812369,31.797439575195312,2175.695556640625
94,1716309471.3169081,21536,-7.745780383938092,29.164133071899414,1920.547607421875
95,1716309507.108156,21119,-7.959688739268896,31.815690994262695,2251.05126953125
96,1716309542.515008,21436,-7.8325433927060075,29.283597946166992,1967.5325927734375
97,1716309579.572028,21384,-7.894545891334356,30.41741180419922,2105.828857421875
98,1716309615.163672,21521,-7.835152778324122,29.1879825592041,1968.4693603515625
99,1716309651.016643,21307,-7.927983531827728,29.28378677368164,2017.7637939453125
